env_steps,grad_steps,eval_return,eval_std,train_return,episodes,wall_time
1000,1,14.0,0.6324555320336759,19.7,45,0.19774127006530762
2000,1001,9.4,0.4898979485566356,18.1,92,3.170675754547119
3000,2001,126.6,22.974768769239006,20.8,125,5.997610807418823
4000,3001,195.6,36.42856022408791,48.1,149,8.728305101394653
5000,4001,194.4,34.575135574571505,25.3,172,11.575467348098755
6000,5001,164.8,46.18831020940255,54.4,192,14.516936540603638
7000,6001,70.4,2.2449944320643644,57.4,212,17.582762002944946
8000,7001,86.8,10.979981785048645,53.5,231,20.523654222488403
9000,8001,95.6,2.0591260281974,79.5,242,23.520806550979614
10000,9001,98.6,14.867414032036642,95.9,253,26.33914804458618
11000,10001,64.8,25.52959067435277,107.6,262,29.353305101394653
12000,11001,102.6,1.019803902718557,94.3,273,32.357277631759644
13000,12001,38.8,3.867815921162743,112.0,281,35.30710220336914
14000,13001,51.4,2.9393876913398134,63.0,300,38.30569100379944
15000,14001,121.6,2.6532998322843198,90.5,311,41.48085427284241
16000,15001,76.6,24.646297896438725,121.7,319,44.11811852455139
17000,16001,500.0,0.0,113.8,328,47.05785942077637
18000,17001,500.0,0.0,93.2,339,49.96999764442444
19000,18001,178.2,11.338430226446693,132.2,342,52.75200128555298
20000,19001,97.4,3.7202150475476548,206.8,346,55.58701276779175
